date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:04:07	3594/3594	---M--	200	added ('OK')	image/png	date:Thu,%2028%20Jun%202018%2013:09:08%20GMT	https://demos.creative-tim.com/material-dashboard-pro/assets/img/flags/BR.png	D:/Modern/Template/demos.creative-tim.com/material-dashboard-pro/assets/img/flags/BR.png	(from https://demos.creative-tim.com/material-dashboard-pro/examples/dashboard.html)
10:04:08	251125/251125	---M--	200	added ('OK')	image/jpeg	date:Thu,%2028%20Jun%202018%2013:09:08%20GMT	https://demos.creative-tim.com/material-dashboard-pro/assets/img/card-2.jpg	D:/Modern/Template/demos.creative-tim.com/material-dashboard-pro/assets/img/card-2.jpg	(from https://demos.creative-tim.com/material-dashboard-pro/examples/dashboard.html)
10:04:08	123917/123917	---M--	200	added ('OK')	image/jpeg	date:Thu,%2028%20Jun%202018%2013:09:08%20GMT	https://demos.creative-tim.com/material-dashboard-pro/assets/img/card-3.jpg	D:/Modern/Template/demos.creative-tim.com/material-dashboard-pro/assets/img/card-3.jpg	(from https://demos.creative-tim.com/material-dashboard-pro/examples/dashboard.html)
10:04:08	233583/233583	---M--	200	added ('OK')	image/jpeg	date:Thu,%2028%20Jun%202018%2013:09:08%20GMT	https://demos.creative-tim.com/material-dashboard-pro/assets/img/card-1.jpg	D:/Modern/Template/demos.creative-tim.com/material-dashboard-pro/assets/img/card-1.jpg	(from https://demos.creative-tim.com/material-dashboard-pro/examples/dashboard.html)
10:04:09	393121/393121	---M--	200	added ('OK')	image/jpeg	date:Thu,%2028%20Jun%202018%2013:09:08%20GMT	https://demos.creative-tim.com/material-dashboard-pro/assets/img/sidebar-2.jpg	D:/Modern/Template/demos.creative-tim.com/material-dashboard-pro/assets/img/sidebar-2.jpg	(from https://demos.creative-tim.com/material-dashboard-pro/examples/dashboard.html)
10:04:09	377600/377600	---M--	200	added ('OK')	image/jpeg	date:Thu,%2028%20Jun%202018%2013:09:08%20GMT	https://demos.creative-tim.com/material-dashboard-pro/assets/img/sidebar-3.jpg	D:/Modern/Template/demos.creative-tim.com/material-dashboard-pro/assets/img/sidebar-3.jpg	(from https://demos.creative-tim.com/material-dashboard-pro/examples/dashboard.html)
10:04:10	145741/145741	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2028%20Jun%202018%2013:09:08%20GMT	https://demos.creative-tim.com/material-dashboard-pro/assets/js/core/jquery.min.js	D:/Modern/Template/demos.creative-tim.com/material-dashboard-pro/assets/js/core/jquery.min.js	(from https://demos.creative-tim.com/material-dashboard-pro/examples/dashboard.html)
10:04:10	386464/386464	---M--	200	added ('OK')	image/jpeg	date:Thu,%2028%20Jun%202018%2013:09:08%20GMT	https://demos.creative-tim.com/material-dashboard-pro/assets/img/sidebar-4.jpg	D:/Modern/Template/demos.creative-tim.com/material-dashboard-pro/assets/img/sidebar-4.jpg	(from https://demos.creative-tim.com/material-dashboard-pro/examples/dashboard.html)
10:04:10	33477/33477	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2028%20Jun%202018%2013:09:08%20GMT	https://demos.creative-tim.com/material-dashboard-pro/assets/js/core/popper.min.js	D:/Modern/Template/demos.creative-tim.com/material-dashboard-pro/assets/js/core/popper.min.js	(from https://demos.creative-tim.com/material-dashboard-pro/examples/dashboard.html)
10:04:11	76652/76652	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2028%20Jun%202018%2013:09:08%20GMT	https://demos.creative-tim.com/material-dashboard-pro/assets/js/core/bootstrap-material-design.min.js	D:/Modern/Template/demos.creative-tim.com/material-dashboard-pro/assets/js/core/bootstrap-material-design.min.js	(from https://demos.creative-tim.com/material-dashboard-pro/examples/dashboard.html)
10:04:11	25332/25332	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2028%20Jun%202018%2013:09:08%20GMT	https://demos.creative-tim.com/material-dashboard-pro/assets/js/plugins/perfect-scrollbar.jquery.min.js	D:/Modern/Template/demos.creative-tim.com/material-dashboard-pro/assets/js/plugins/perfect-scrollbar.jquery.min.js	(from https://demos.creative-tim.com/material-dashboard-pro/examples/dashboard.html)
10:04:11	58687/58687	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2028%20Jun%202018%2013:09:08%20GMT	https://demos.creative-tim.com/material-dashboard-pro/assets/js/plugins/moment.min.js	D:/Modern/Template/demos.creative-tim.com/material-dashboard-pro/assets/js/plugins/moment.min.js	(from https://demos.creative-tim.com/material-dashboard-pro/examples/dashboard.html)
10:04:12	56499/56499	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2028%20Jun%202018%2013:09:08%20GMT	https://demos.creative-tim.com/material-dashboard-pro/assets/js/plugins/sweetalert2.js	D:/Modern/Template/demos.creative-tim.com/material-dashboard-pro/assets/js/plugins/sweetalert2.js	(from https://demos.creative-tim.com/material-dashboard-pro/examples/dashboard.html)
10:04:12	21090/21090	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2028%20Jun%202018%2013:09:08%20GMT	https://demos.creative-tim.com/material-dashboard-pro/assets/js/plugins/jquery.validate.min.js	D:/Modern/Template/demos.creative-tim.com/material-dashboard-pro/assets/js/plugins/jquery.validate.min.js	(from https://demos.creative-tim.com/material-dashboard-pro/examples/dashboard.html)
10:04:12	14594/14594	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2028%20Jun%202018%2013:09:08%20GMT	https://demos.creative-tim.com/material-dashboard-pro/assets/js/plugins/jquery.bootstrap-wizard.js	D:/Modern/Template/demos.creative-tim.com/material-dashboard-pro/assets/js/plugins/jquery.bootstrap-wizard.js	(from https://demos.creative-tim.com/material-dashboard-pro/examples/dashboard.html)
10:04:13	95037/95037	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2028%20Jun%202018%2013:09:08%20GMT	https://demos.creative-tim.com/material-dashboard-pro/assets/js/plugins/bootstrap-selectpicker.js	D:/Modern/Template/demos.creative-tim.com/material-dashboard-pro/assets/js/plugins/bootstrap-selectpicker.js	(from https://demos.creative-tim.com/material-dashboard-pro/examples/dashboard.html)
10:04:13	40248/40248	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2028%20Jun%202018%2013:09:08%20GMT	https://demos.creative-tim.com/material-dashboard-pro/assets/js/plugins/bootstrap-datetimepicker.min.js	D:/Modern/Template/demos.creative-tim.com/material-dashboard-pro/assets/js/plugins/bootstrap-datetimepicker.min.js	(from https://demos.creative-tim.com/material-dashboard-pro/examples/dashboard.html)
10:04:14	22293/22293	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2028%20Jun%202018%2013:09:08%20GMT	https://demos.creative-tim.com/material-dashboard-pro/assets/js/plugins/bootstrap-tagsinput.js	D:/Modern/Template/demos.creative-tim.com/material-dashboard-pro/assets/js/plugins/bootstrap-tagsinput.js	(from https://demos.creative-tim.com/material-dashboard-pro/examples/dashboard.html)
